Stanford,EE,EE 14N,Things about Stuff,Aut,3,"Preference to freshmen. The stories behind disruptive inventions such as the telegraph, telephone, wireless, television, transistor, and chip are as important as the inventions themselves, for they elucidate broadly applicable scientific principles. Focus is on studying consumer devices; projects include building batteries, energy conversion devices and semiconductors from pocket change. Students may propose topics and projects of interest to them. The trajectory of the course is determined in large part by the students themselves.",,,,,
Stanford,EE,EE 15N,The Art and Science of Engineering Design,not given this year,3,"The goal of this seminar is to introduce freshmen to the design process associated with an engineering project. The seminar will consist of a series of lectures. The first part of each lecture will focus on the different design aspects of an engineering project, including formation of the design team, developing a project statement, generating design ideas and specifications, finalizing the design, and reporting the outcome. Students will form teams to follow these procedures in designing a term project of their choice over the quarter. The second part of each lecture will consist of outside speakers, including founders of some of the most exciting companies in Silicon Valley, who will share their experiences about engineering design. On-site visits to Silicon Valley companies to showcase their design processes will also be part of the course. The seminar serves three purposes: (1) it introduces students to the design process of turning an idea into a final design, (2) it presents the different functions that people play in a project, and (3) it gives students a chance to consider what role in a project would be best suited to their interests and skills.",,,,,
Stanford,EE,EE 17N,Engineering the Micro and Nano Worlds: From Chips to Genes,not given this year,3,"Preference to freshmen. The first part is hands-on micro- and nano-fabrication including the Stanford Nanofabrication Facility (SNF) and the Stanford Nanocharacterization Laboratory (SNL) and field trips to local companies and other research centers to illustrate the many applications; these include semiconductor integrated circuits ('chips'), DNA microarrays, microfluidic bio-sensors and microelectromechanical systems (MEMS). The second part is to create, design, propose and execute a project. Most of the grade will be based on the project. By the end of the course you will, of course, be able to read critically a New York Times article on nanotechnology. More importantly you will have experienced the challenge (and fun) of designing, carrying out and presenting your own experimental project. As a result you will be better equipped to choose your major. This course can complement (and differs from) the seminars offered by Profs Philip Wong and Hari Manoharan in that it emphasizes laboratory work and an experimental student-designed project. Prerequisites: high-school physics.",high-school physics.,,,,
Stanford,EE,EE 21N,What is Nanotechnology?,Win,3,"Nanotechnology is an often used word and it means many things to different people. Scientists and Engineers have some notion of what nanotechnology is, societal perception may be entirely different. In this course, we start with the classic paper by Richard Feynman (""There's Plenty of Room at the Bottom""), which laid down the challenge to the nanotechnologists. Then we discuss two classic books that offer a glimpse of what nanotechnology is: Engines of Creation: The Coming Era of Nanotechnology by Eric Drexler, and Prey by Michael Crichton. Drexler's thesis sparked the imagination of what nano machinery might do, whereas Crichton's popular novel channeled the public's attention to this subject by portraying a disastrous scenario of a technology gone astray. We will use the scientific knowledge to analyze the assumptions and predictions of these classic works. We will draw upon the latest research advances to illustrate the possibilities and impossibilities of nanotechnology.",,,,,
Stanford,EE,EE 22N,Medical Imaging Systems,not given this year,3,"Preference to freshmen. The technology of major imaging modalities used for disease diagnosis: x-ray, ultrasound, and magnetic resonance; their history, societal impact, and clinical applications. Field trips to a medical center and an imaging research lab. Term paper and presentation. Prerequisites: high school physics and calculus.",high school physics and calculus.,,,,
Stanford,EE,EE 23N,Imaging: From the Atom to the Universe,not given this year,3,"Preference to freshmen. Forms of imaging including human and animal vision systems, atomic force microscope, microscope, digital camera, holography and three-dimensional imaging, telescope, synthetic aperture radar imaging, nuclear magnetic imaging, sonar and gravitational wave imaging, and the Hubble Space telescope. Physical principles and exposure to real imaging devices and systems.",,,,,
Stanford,EE,EE 26N,"The Wireless World, and the Data You Leak",Win,3,"The world is increasingly based on wireless communication. Cell phones and WiFi are the most visible examples. Others are key fobs, water meters, gas and electric meters, garage door openers, baby monitors, and the list continues to expand. All of these produce RF signals you can detect and often decode. This seminar will explore how much information you broadcast throughout your day, and how it can easily be received and decoded using inexpensive hardware and public domain software. You will be able to explain why different information services use different frequencies, why they encode the information the way they do, and what security risks they present.",,,,,
Stanford,EE,EE 29N,Electromagnetic Sensors for the Internet of Things,not given this year,3,"Have you ever wondered how your phone know what way is up? How the traffic light know your car is there? How you can monitor your health with a smart bracelet? If so, you want to learn about electromagnetic sensors. In this course we will the electromagnetic principles that allows us to sense things and communicate with things at a distance. You will learn the fundamentals of electromagnetic sensing and build practical sensors in the laboratory.",,,,,
Stanford,EE,EE 42,Introduction to Electromagnetics and Its Applications (ENGR 42),Win,5,"Electricity and magnetism and its essential role in modern electrical engineering devices and systems, such as sensors, displays, DVD players, and optical communication systems. The topics that will be covered include electrostatics, magnetostatics, Maxwell's equations, one-dimensional wave equation, electromagnetic waves, transmission lines, and one-dimensional resonators. Pre-requisites:  MATH 42 or  MATH 51 or  CME 100 or equivalent.",,,,,
Stanford,EE,EE 46,Engineering For Good: Save the World and Have Fun Doing It,Win,3,Projects that provide immediate and positive impact on the world. Focus is on global health by learning from experts in this field. Students work on real-world projects with help from members of NGOs and social entrepreneurial companies as part of the hand-on learning experience. Prerequisite:  ENGR 40 or  EE 122A or  CS 106B or consent of instructor.,,,,,
