B50 ACCT 663,Seminar in Accounting Research II,,"The goal of this course is to develop the ability to conduct empirical research on (1) the role of accounting information in the firm (i.e., contracting and corporate governance, (2) how managers choose to exercise their discretion to implement their firmsâ€?financial accounting, reporting, and disclosure strategies. In doing so, we will develop an understanding of the economic, finance, and accounting theory that underlies empirical accounting research.  As we go through each study in this class we will focus on identifying and understanding three critical elements of each study: (1) the research question, (2) the motivation, and (3) the research design. An author must describe the incremental contribution to the literature to motivate his paper. Therefore, we will also build an understanding of the major results in the literature and evaluate the strength and weakness of each study. ",
B50 ACCT 664,Doctoral Seminar in Financial Accounting,,"The goal of this course is to develop the ability to conduct empirical research on (1) the role of accounting information in security valuation, (2) the role of accounting in the firm (i.e., contracting).  In doing so, we will develop an understanding of the economic, finance, and accounting theory that underlies empirical accounting research. As we go through papers in this class we will focus on identifying and understanding three critical elements of each study:  (1) the research question, (2) the motivation, and (3) the research design.  An author must describe the incremental contribution to the literature to motivate his paper.  Therefore, we will also build an understanding of the major results in the literature.   ",
B50 ACCT 665,Applied Empirical Research in Accounting,,"The goal of this course is to develop the ability to conduct empirical research on (1) the role of accounting information in security valuation: and (2) the role of accounting in the firm (i.e., contracting). In doing so, we will develop an understanding of the economic, finance, and accounting theory that underlies empirical accounting research. As we go through each study in this class we will focus on identifying and understanding three critical elements of each study: (1) the research question, (2) the motivation, and (3) the research design. An author must describe the incremental contribution to the literature to motivate his or her paper. Therefore, we will also build an understanding of the major results in the literature. ",
B50 ACCT 668,Independent Study in Accounting,,"Internship must be arranged by the student and approved by the advising faculty member. An outline of objectives must be submitted to the PhD Office prior to enrollment. May be taken a maximum of five (5) times for credit. Credit, variable; fifteen (15) credits combined total. ",
B50 ACCT 669,Directed Readings in Accounting,,"A program of readings developed by and with the approval of one or more members of the Accounting faculty. Prerequisite, approval of the Director of the PhD program. Credit, variable. May be taken up to two (2) times for credit; six (6) credits combined total. ",
B52 FIN 615A/B,Research in Finance I/II,,"The finance group has a very active seminar series that brings about 25 scholars to Olin each year (including job market candidates). The â€œResearch in Financeâ€?course meets once a week for 45 minutes prior to the seminar. The students are asked to read the seminar paper in advance and be ready to discuss different aspects of the paper. Additionally, one student is designated each week as the presenter of the paper. This student presents the questions, methodology, and results in the paper. The presenting student also discusses the main problems that he or she sees in the paper, as well as ideas for further research. Following or during the presentation, the class will discuss these different aspects of the paper. Students write and submit a critical report on the paper under consideration, including ideas for further research. The report is graded by the instructor. ",
B52 FIN 642,Advanced Continuous Time Theory,,Covers advanced dynamic asset pricing and portfolio selection in continuous time. Students are required to read some of the classical papers as well as the most recent developments in the field. Lectures emphasize the concepts and technical tools needed to understand these articles and to initiate frontier research in this field. ,
B52 FIN 643,Information Economics & Corporate Finance Theory,,"This is a rigorous seminar in individual and corporate economic behavior under conditions of asymmetric information, with application to corporate finance, financial intermediation, and accounting. Its purpose is to cover many of the landmark modern developments in information economics as well as some â€œapplications-orientedâ€?papers. The principal objectives are to (i) inform students about the major advances made in the areas mentioned above and (ii) equip them with the analytical tools needed to do theoretical research in the area, including applications in financial economics. ",
B52 FIN 644,Financial Economics I,,"The course consists of two parts: basic theory and empirical tests. Topics include: utility maximization, stochastic dominance, mean-variance analysis, fund separation, pricing theory, fundamental theorem of asset pricing, and basic continuous-time mathematics. ",
B52 FIN 647,Topics in Corporate Finance,,"The course objective is to introduce doctoral students to research in corporate finance and will cover classical topics in corporate finance. We will discuss both theory and empirical work with a focus on theory. Topics covered may include mergers and acquisitions, private equity and venture capital finance, capital structure, corporate governance and control, market microstructure, and incentive design. The class studies theories capable of explaining empirical observations, analyzes the empirical papers testing these theories and includes a detailed discussion of the main empirical methodologies commonly employed in corporate finance. ",
